num|Title|Summary
0|นักลงทุนทั่วโลกผวาสารพัดข่าวลบ แห่ขาย หุ้น-ทองคำ-น้ำมัน ดาวโจนส์รูดหนักเฉียด 1พันจุด|นักลงทุนตื่นขายทุกสินทรัพย์การลงทุนทั่วโลก หลังเผชิญสารพัดปัจจัยลบ ทั้งข่าวโควิด-19 ระบาดรอบใหม่ในอังกฤษส่อกลับไปล็อกดาวน์ รวมไปถึงแรงขายหุ้นในกลุ่มแบงก์จากการเข้าไปเกี่ยวข้องกับการโยกย้ายเงินผิดกฎหมาย และความขัดแย้งระหว่าง สภาคองเกรส กับ ทำเนียบขาว 
1|3 พันธมิตรตั้งทีมที่ปรึกษาสตาร์ทอัพ|เมนเทอร์สตาร์ทอัพ ร่วมกันจัดงานสัมมนา Ready, Get Set, Go! ครั้งแรก พร้อมด้วยวิทยากรจากวงการสตาร์ทอัพตัวจริงในไทย พร้อมตั้งทีมที่ปรึกษาสตาร์ทอัพครบวงจร
2|ข้อมูล Warrant (21 ก.ย.63)|Warrant Information ประจำวันที่ 21 กันยายน 2563
3|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (21 ก.ย.63)|อัตราแลกเปลี่ยนเงินตราต่างประเทศ (Currency Cross Rate) วันที่ 21 กันยายน 2563 ณ เวลาประมาณ 19.00น.
4| เงินบาท ปิดตลาดวันนี้ อ่อนค่า ที่31.22บาทต่อดอลลาร์|เงินบาทอ่อนค่าตามกระแสแรงขายสินทรัพย์เสี่ยงจากตลาดกังวลโควิด-19ยืดเยื้อในหลายประเทศ และมีรายงานข่าวหลายธนาคารเกี่ยวข้องกับธุรกรรมที่น่าสงสัยซึ่งมีมูลค่ามหาศาล โดยเฉพาะธนาคารในฟากยุโรป ซึ่งได้ส่งผลให้ตลาดลดการถือครองสกุลเงินยูโรและปอนด์ ส่งผลให้ดอลลาร์พลิกกลับมาแข็งค่า
5|สินเชื่อ ดอกเบี้ยต่ำ อนุมัติเร็ว จาก ไปรษณีย์ไทย และ SME D Bank|เปิดรายละเอียดพร้อมวิธีขอ สินเชื่อ ดอกเบี้ยต่ำ สำหรับกลุ่ม ผู้ค้าออนไลน์ ที่เป็นลูกค้าไปรษณีย์เก็บเงินปลายทาง (COD) ภายใต้ความร่วมมือของ เอสเอ็มอี ดีแบงค์ และ ไปรษณีย์ไทย สมัครง่าย รู้ผลใน 24 ชั่วโมง
6|หุ้นไทย ภาคบ่าย ปิดตลาด 1,275.16 จุด ลบ -13.23 จุด หรือ -1.03%|กรุงเทพธุรกิจออนไลน์ - การซื้อขายหลักทรัพย์ภาคบ่ายวันจันทร์ (21 ก.ย. 63) เวลา 17.00 น. ดัชนีปิดที่ระดับ 1,275.16 จุด ปรับลดลง -13.23 จุดหรือคิดเป็น -1.03% มูลค่าการซื้อ-ขายทั้งสิ้น 40,183.89 ล้านบาท
7|ก.ล.ต. ผนึก ธ.ก.ส. ปั้นเดอะเทรนเนอร์ด้านการลงทุน|ก.ล.ต. ปักหมุดเสริมสร้างความรู้การจัดการเงินส่วนบุคคลแก่เยาวชนทั่วประเทศผ่านการสร้างเครือข่ายวิทยากรตัวคูณ จับมือ ธ.ก.ส.จัดอบรมพนักงานให้เป็นวิทยากรตัวคูณด้านการลงทุนเป็นโครงการแรก ซึ่งเป็นส่วนหนึ่งของการส่งเสริมให้มีการใช้ประโยชน์จากกลไกตลาดทุน
8|หุ้นไทยปิดร่วง13 จุด กังวลโควิดกระบาดหนักในต่างประเทศ|หุ้นไทยปรับตัวลดลงแรงช่วงบ่ายกว่า 15 จุด ก่อนกลับมาปิดตลาดที่ 1,275.15 จุด หรือลดลง 13.24 จุด จากความกังวลการแพร่ระบาดโควิดในอังกฤษ-ยุโรป อาจออกมาตรการล็อกดาวน์ รวมถึงกังวลธนาคารยุโรปมีการโยกย้ายเงินผิดกฎหมาย
9|ตลท. ประกาศใช้เกณฑ์ปกติ ชอร์ตเซล-ซีลลิ่ง & ฟลอร์เริ่ม 1 ต.ค.นี้|ตลาดหลักทรัพย์ฯ และตลาดสัญญาซื้อขายล่วงหน้า เริ่มใช้เกณฑ์ปกติ ชอร์ตเซล-ซีลลิ่ง & ฟลอร์ 1 ต.ค. นี้
