title|word
นักลงทุนทั่วโลกผวาสารพัดข่าวลบ แห่ขาย หุ้น-ทองคำ-น้ำมัน ดาวโจนส์รูดหนักเฉียด 1พันจุด|การลงทุนทั่วโลก/sp/อังกฤษส่อล็อก/sp/ล็อกดาวน์รวมไปถึง/sp/สภาคองเกรส/sp/สภาคองเกรสทำเนียบขาว/sp/สารพัดปัจจัย/sp/สารพัดปัจจัยลบ/sp/สินทรัพย์การลงทุน/sp/สินทรัพย์การลงทุนทั่วโลก/sp/ส่อล็อก
3 พันธมิตรตั้งทีมที่ปรึกษาสตาร์ทอัพ|สตาร์ทอัพ/sp/ครั้งแรกวิทยากร/sp/อัพสัมมนาครั้งแรก/sp/อร์สตาร์ท/sp/อัพครบวงจร/sp/อัพตัวจริง/sp/อัพตัวจริงไทย/sp/อัพสัมมนา/sp/เทอร/sp/สัมมนาครั้งแรกวิทยากร
อัตราแลกเปลี่ยนเงินตราต่างประเทศ (21 ก.ย.63)|กันยายนเวลา/sp/กันยายนเวลาน./sp/วันที่กันยายน/sp/วันที่กันยายนเวลา/sp/อัตราแลกเปลี่ยนเงินตราต่างประเทศ/sp/อัตราแลกเปลี่ยนเงินตราต่างประเทศวันที่/sp/เงินตราต่างประเทศวันที่/sp/เงินตราต่างประเทศวันที่กันยายน/sp/เวลาน.
 เงินบาท ปิดตลาดวันนี้ อ่อนค่า ที่31.22บาทต่อดอลลาร์|กระแสแรง/sp/รายงานข่าว/sp/สินทรัพย์เสี่ยง/sp/สกุลเงินยูโร/sp/สกุลเงิน/sp/ลดถือครองสกุล/sp/ลดถือครอง/sp/รายงานข่าวธนาคาร/sp/ยูโรปอนด์ส่งผล/sp/ส่งผลดอลลาร์
สินเชื่อ ดอกเบี้ยต่ำ อนุมัติเร็ว จาก ไปรษณีย์ไทย และ SME D Bank|ความร่วมมือเอสเอ็มอี/sp/เอสเอ็มอีดี/sp/สำหรับผู้ค้าออนไลน์/sp/สินเชื่อดอกเบี้ย/sp/สินเชื่อดอกเบี้ยต่ำ/sp/ออนไลน์ลูกค้า/sp/ออนไลน์ลูกค้าไปรษณีย์/sp/เงินปลายทาง/sp/เงินปลายทางความร่วมมือ/sp/เอสเอ็มอีดีแบงค์
หุ้นไทย ภาคบ่าย ปิดตลาด 1,275.16 จุด ลบ -13.23 จุด หรือ -1.03%|ก.ย.เวลา/sp/ลดลงจุด/sp/มูลค่าการซื้อขาย/sp/มูลค่าการซื้อขายล้าน/sp/ระดับจุด/sp/ระดับจุดลด/sp/ลงจุดมูลค่า/sp/ลงจุดมูลค่าการซื้อขาย/sp/ลดลงจุดมูลค่า/sp/บ่ายจันทร์
ก.ล.ต. ผนึก ธ.ก.ส. ปั้นเดอะเทรนเนอร์ด้านการลงทุน|วิทยากรตัวคูณ/sp/หมุดเสริมสร้างความรู้/sp/วิทยากรตัวคูณจับมือ/sp/สร้างเครือข่าย/sp/สร้างเครือข่ายวิทยากร/sp/ส่งเสริมใช้ประโยชน์/sp/ส่งเสริมใช้ประโยชน์กลไก/sp/ส่วนบุคคลเยาวชน/sp/ส่วนบุคคลเยาวชนทั่วประเทศ/sp/ส่วนหนึ่งส่งเสริม
หุ้นไทยปิดร่วง13 จุด กังวลโควิดกระบาดหนักในต่างประเทศ|กลับมาตลาด/sp/ยุโรปโยกย้ายเงิน/sp/ลงจุดความกังวลแพร่ระบาด/sp/ลงแรงบ่าย/sp/ลงแรงบ่ายจุด/sp/ลดลงจุด/sp/ลดลงจุดความกังวล/sp/ลดลงแรง/sp/ลดลงแรงบ่าย/sp/ล็อกดาวน์
ตลท. ประกาศใช้เกณฑ์ปกติ ชอร์ตเซล-ซีลลิ่ง & ฟลอร์เริ่ม 1 ต.ค.นี้|ชอร์ตเซ/sp/ลซีลลิ่ง/sp/เซล/sp/เกณฑ์ปกติชอร์ต/sp/เกณฑ์ปกติ/sp/สัญญาซื้อขายล่วงหน้าเกณฑ์/sp/สัญญาซื้อขายล่วงหน้า/sp/ล่วงหน้าเกณฑ์ปกติ/sp/ล่วงหน้าเกณฑ์/sp/ลิ่งฟลอร์ต.ค.
ออมสินเล็งระดมหมื่นล้านผ่านบอนด์เพื่อสังคม|ล้านบาท/sp/การเคหะระดมทุน/sp/วันที่ก.ย./sp/มูลค่าหมื่นล้าน/sp/ยื่นความประสงค์/sp/ยื่นความประสงค์เต็ม/sp/ระดมทุนสร้าง/sp/ระดมทุนสร้างที่อยู่อาศัย/sp/ล้านบาทชี้/sp/ล้านบาทปี
MENA จ่อขายหุ้นไอพีโอ 184 ล้านหุ้น เข้าระดมทุนตลาดหุ้น SET|ก.ล.ต.ขาย/sp/ลิ่งก.ล.ต./sp/ล้านหุ้น/sp/ล้านหุ้นระดมทุน/sp/สปอร์ตยื่น/sp/สปอร์ตยื่นไฟ/sp/หนี้สินเงินทุนหมุนเวียน/sp/หนี้สินเงินทุนหมุนเวียนกิจการ/sp/หุ้นจำนวน/sp/หุ้นจำนวนล้าน
BANPU ร่วง6.45% โบรกฯ คาดเจอแรงขายทำกำไรระยะสั้น|การซื้อขายล้าน/sp/ระดับบาท/sp/แรงระดับ/sp/แรงขายทำกำไร/sp/แรงขาย/sp/เจอแรงขาย/sp/เจอแรง/sp/หุ้นรูดแรง/sp/หุ้นรูด/sp/ล้านบาทเจอ
GULF ปลื้มนลท.แห่จองซื้อหุ้นเพิ่มทุนล้น 1.26 เท่า รับ 3.2 หมื่นล้านขยายธุรกิจ|พันล้าน/sp/ก.ย.ที่ผ่านมา/sp/ล้นซื้อ/sp/ล้านบาท/sp/ล้านบาทลงทุน/sp/ล้านหุ้น/sp/ล้านหุ้นเตรียม/sp/สิทธิซื้อ/sp/สิทธิซื้อหุ้น/sp/หุ้นทุน
